Track Name,Track ID,Artists,Artist Count,Track_Name
Somebody That I Used To Know,1qDrWA6lyx8cLECdZE7TV7,gotye,2,somebody that i used to know
Somebody That I Used To Know,1qDrWA6lyx8cLECdZE7TV7,kimbra,2,somebody that i used to know
One Down,0Ao0VNfKEv8o4raTRFAzmJ,davo,1,one down
Somewhere Only We Know,1SKPmfSYaPsETbRHaiA18G,keane,1,somewhere only we know
I Had Some Help (Feat. Morgan Wallen),7221xIgOnuakPdLqT0F3nP,post malone,2,i had some help feat morgan wallen
I Had Some Help (Feat. Morgan Wallen),7221xIgOnuakPdLqT0F3nP,morgan wallen,2,i had some help feat morgan wallen
Timber,3tgZ9vmhuAY9wEoNUJskzV,pitbull,2,timber
Timber,3tgZ9vmhuAY9wEoNUJskzV,kesha,2,timber
Hello Midnight,3RGtJLfjmGSIR2ZAR9nbTJ,gabi sklar,1,hello midnight
Die For You - Remix,7oDd86yk8itslrA9HRP2ki,the weeknd,2,die for you  remix
Die For You - Remix,7oDd86yk8itslrA9HRP2ki,ariana grande,2,die for you  remix
Summer,6YUTL4dYpB9xZO5qExPf05,calvin harris,1,summer
California Gurls,5uOUxoxEMZQo0cFT9YWFdi,katy perry,2,california gurls
California Gurls,5uOUxoxEMZQo0cFT9YWFdi,snoop dogg,2,california gurls
Eve,77fFEJnLlmhElEELieMNtH,yellacatt,1,eve
Galway Girl,0afhq8XCExXpqazXczTSve,ed sheeran,1,galway girl
Sk8er Boi,00Mb3DuaIH1kjrwOku9CGU,avril lavigne,1,sk8er boi
This Love (Taylor’s Version),5QVVjX0ZItqlVpEuVCM9Yg,taylor swift,1,this love taylors version
Fetch,0XKoxOQcY2kO43KdCGcTJk,justina valentine,1,fetch
Rose-Colored Boy,2RJfK2pOvGpnxC255YOy5k,paramore,1,rosecolored boy
we can't be friends (wait for your love),51ZQ1vr10ffzbwIjDCwqm4,ariana grande,1,we cant be friends wait for your love
Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,elton john,3,cold heart  pnau remix
Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,dua lipa,3,cold heart  pnau remix
Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,pnau,3,cold heart  pnau remix
Halloween Freestyle Challenge,4Wq49RVjGMctR2K6avnIi2,mike g,1,halloween freestyle challenge
Treasure,55h7vJchibLdUkxdlX3fK7,bruno mars,1,treasure
Diamonds,7i0jaBLpIADxqNbhAb4XFb,rihanna,1,diamonds
Can't Feel My Face,22VdIZQfgXJea34mQxlt81,the weeknd,1,cant feel my face
Don't Ask Me,1qqaJCS3LtdQnCHt0noTmP,young buck,2,dont ask me
Don't Ask Me,1qqaJCS3LtdQnCHt0noTmP,dj paul,2,dont ask me
Raise Your Glass,1gv4xPanImH17bKZ9rOveR,p!nk,1,raise your glass
Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,lewis capaldi,1,someone you loved
Heathens,6i0V12jOa3mr6uu4WYhUBr,twenty one pilots,1,heathens
Letter To The Ville,16sKg4HXuwnu9kT7KMdNRO,pfg,1,letter to the ville
Love Yourself,50kpGaPAhYJ3sGmk6vplg0,justin bieber,1,love yourself
Roar,6F5c58TMEs1byxUstkzVeM,katy perry,1,roar
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,the chainsmokers,2,something just like this
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,coldplay,2,something just like this
Supernatural Reminder,5iyU5vEeCaqNH1dv5wnEeh,kenzo cregan,1,supernatural reminder
Attention,11xC6P3iKYpFThT6Ce1KdG,doja cat,1,attention
