Track Name,Track ID,Artists,Artist Count
Bad Romance,0SiywuOBRcynK0uKGWdCnn,lady gaga,1
Good Girl,7spFEoLxDv20MEg9paKaQ5,alexis jordan,1
Rock N Roll,471JGLzHPrgM4lS9mNOEIt,avril lavigne,1
Love You Like A Love Song,7lAoovVf67mECK18oOpJbc,selena gomez & the scene,1
Fight For This Love,33IQnmtJYjCcrvUUMQgi80,cheryl,1
Hard out Here,3U3BXlwNTkCx7lW9m1H9RY,lily allen,1
Love Song,4E6cwWJWZw2zWf7VFbH7wf,sara bareilles,1
Want U Back,5InWRmnfgjVwQWoXHNBATu,cher lloyd,1
Pocketful of Sunshine,1uigwk5hNV84zRd5YQQRTk,natasha bedingfield,1
Love Like This (feat. Sean Kingston),2FDXMNnzPstPQgZ1BM4vX0,"natasha bedingfield, sean kingston",2
The Tide Is High - Radio Mix,5WuVWOngcRkMOx9RRLCvui,atomic kitten,1
Fly,2E1RGgFtr1X4H6glXOtABo,"nicki minaj, rihanna",2
Popular Song,6AviHKu3ydzAePBmzEi62v,"mika, ariana grande",2
I Know Where It's At,0ugHbbuxII19JNMCdMUDOe,all saints,1
A Thousand Miles,4pextOBn0xoPnKf7qrDjWg,vanessa carlton,1
Leave (Get Out),3QigOeWryUCP56I1IlTB9x,jojo,1
National Anthem,5JyDveG5JnK2PqEXtETUp1,lana del rey,1
Never Really Over,5PYQUBXc7NYeI1obMKSJK0,katy perry,1
Alejandro,0iOu4s8w3pE9vbpb1SHXsL,lady gaga,1
Firework,4lCv7b86sLynZbXhfScfm2,katy perry,1
Blank Space (Taylor's Version),45wMBGri1PORPjM9PwFfrS,taylor swift,1
New Romantics (Taylor's Version),2vPMoMDXxu9uX1igWZmXSG,taylor swift,1
We R Who We R,3LUWWox8YYykohBbHUrrxd,kesha,1
Houdini,6D8y7Bck8h11byRY88Pt2z,dua lipa,1
How Ya Doin'?,2rJWY0oG1vA0QDk1ajHz6d,little mix,1
Round & Round,1LOuZmemeDN1SkJc9EemFI,selena gomez & the scene,1
Hit The Lights,6ciLLh4TkPYDUfNxn2Z0KO,selena gomez & the scene,1
Roar,27tNWlhdAryQY04Gb2ZhUI,katy perry,1
Anticipating,6dKYAtGciLRm8uOD1LiSVf,britney spears,1
exes,4E63weMCaNZuGPEFMnuEi8,tate mcrae,1
SOS,30cSNer6TV8x2utjULVeQ5,rihanna,1
Bad Romance,0SiywuOBRcynK0uKGWdCnn,lady gaga,1
Starships,2EBCVPNAG46nbgs6jXPGvv,nicki minaj,1
Since U Been Gone,6JY1IdkZGeIcPegKxjSKeb,kelly clarkson,1
Beauty And A Beat,6QFCMUUq1T2Vf5sFUXcuQ7,"justin bieber, nicki minaj",2
Don't Cha,4o3cq2szX7THGyZDsWtp59,"the pussycat dolls, busta rhymes",2
Price Tag,2fTsFCKRFQ5M0igJgabnLA,"jessie j, b.o.b",2
Barbie Girl,5ZrDlcxIDZyjOzHdYW1ydr,aqua,1
Do It Well (feat. Ludacris),2jQrtYfuGN1WbKi9d1BwGn,"jennifer lopez, ludacris",2
C'Mon,4bO6IzKXMWhmncfIO9GBq2,kesha,1
Just Dance,1dzQoRqT5ucxXVaAhTcT0J,"lady gaga, colby o'donis",2
LoveGame,0eH2eHURaXUP15D8gQlfjx,lady gaga,1
Never Say Never,5GYbkDveRD2I8M5ZJ14hWn,"justin bieber, jaden",2
Neon Lights,1WINLcGPEw9jDs2z0zLKIU,demi lovato,1
Beautiful Liar,2HWWNoWEEEECwZhAiLg7ib,"beyoncé, shakira",2
Don't Hold Your Breath,7pAq1IXYZpL42HchCminu6,nicole scherzinger,1
Dark Horse,4jbmgIyjGoXjY01XxatOx6,"katy perry, juicy j",2
La La Land,0M9VqYG0wVun054JIdwFO8,demi lovato,1
Fabulous,6wgQdBucsTofex57f3Rxnz,"sharpay evans, ryan, disney",3
