Track Name,Track ID,Artists,Artist Count
hot girl summer,1Gf26Mfp45ofO8A8dwCS1P,milky sad,1
cold water feat justin bieber  mø,6Bjtr3tPdto5nyuLYf61sN,major lazer,3
cold water feat justin bieber  mø,6Bjtr3tPdto5nyuLYf61sN,justin bieber,3
cold water feat justin bieber  mø,6Bjtr3tPdto5nyuLYf61sN,mø,3
drag me down,2K87XMYnUMqLcX3zvtAF4G,one direction,1
tip toe in rick owens  chopped not slopped,7L4hymrOCGc0YKHA0n8dGs,riff raff,3
tip toe in rick owens  chopped not slopped,7L4hymrOCGc0YKHA0n8dGs,sada baby,3
tip toe in rick owens  chopped not slopped,7L4hymrOCGc0YKHA0n8dGs,sauce walka,3
grenade,4lLtanYk6tkMvooU0tWzG8,bruno mars,1
good luck babe,0WbMK4wrZ1wFSty9F7FCgu,chappell roan,1
stronger what doesnt kill you,1nInOsHbtotAmEOQhtvnzP,kelly clarkson,1
splashy,1Q6zV75Yo6ckqE9qAikP0T,justina valentine,1
dont let me down,1i1fxkWeaMmKEB4T7zqbzK,the chainsmokers,2
dont let me down,1i1fxkWeaMmKEB4T7zqbzK,daya,2
i love you im sorry,51rfRCiUSvxXlCSCfIztBy,gracie abrams,1
bye bye bye  from deadpool and wolverine soundtrack,62bOmKYxYg7dhrC6gH9vFn,*nsync,1
reminiscing,5OznfL8VRFx0fpfyLH19yy,eiza murphy,1
the lazy song,386RUes7n1uM1yfzgeUuwp,bruno mars,1
you  i,5ubTvvH1TzZ8UrcYqJgc3Q,touching faces,2
you  i,5ubTvvH1TzZ8UrcYqJgc3Q,dean andrew,2
is it over now taylors version from the vault,1Iq8oo9XkmmvCQiGOfORiz,taylor swift,1
i aint worried,4h9wh7iOZ0GGn8QVp4RAOB,onerepublic,1
igual que un ángel with peso pluma,6XaJfhwof7qIgbbXO5tIQI,kali uchis,2
igual que un ángel with peso pluma,6XaJfhwof7qIgbbXO5tIQI,peso pluma,2
elastic heart,6kwAbEjseqBob48jCus7Sz,sia,1
pillowtalk,0PDUDa38GO8lMxLCRc4lL1,zayn,1
radio,3taCbWWTilb7eNMsAzOBq4,lana del rey,1
the greatest feat kendrick lamar,7xHWNBFm6ObGEQPaUxHuKO,sia,2
the greatest feat kendrick lamar,7xHWNBFm6ObGEQPaUxHuKO,kendrick lamar,2
stressed out,3CRDbSIZ4r5MsZ0YwxuEkn,twenty one pilots,1
take me to church,3dYD57lRAUcMHufyqn9GcI,hozier,1
i knew you were trouble,6FB3v4YcR57y4tXFcdxI1E,taylor swift,1
